Campaign,Campaign Type,Status,Budget,Budget Type,Bid Strategy Type,Networks,Languages
ABK | Search | EN | B2B Wholesale & Dealers,Search,Paused,9.62,Daily,Manual CPC,Google search,English; Arabic
ABK | Search | AR | B2B Wholesale & Dealers,Search,Paused,4.12,Daily,Manual CPC,Google search,English; Arabic
ABK | Search | EN | Autotriz Ceramic Coatings,Search,Paused,8.24,Daily,Manual CPC,Google search,English; Arabic
ABK | Search | AR | Autotriz Ceramic Coatings,Search,Paused,5.49,Daily,Manual CPC,Google search,English; Arabic
ABK | Search | EN | Interior & Fragrance,Search,Paused,6.87,Daily,Manual CPC,Google search,English; Arabic
ABK | Search | AR | Interior & Fragrance,Search,Paused,4.12,Daily,Manual CPC,Google search,English; Arabic
ABK | Search | EN | Autotriz Compounds & Shampoo,Search,Paused,8.24,Daily,Manual CPC,Google search,English; Arabic
ABK | Search | AR | Autotriz Compounds & Shampoo,Search,Paused,4.12,Daily,Manual CPC,Google search,English; Arabic
ABK | Search | EN | VTEK PPF & Window Film,Search,Paused,15.11,Daily,Manual CPC,Google search,English; Arabic
ABK | Search | AR | VTEK PPF & Window Film,Search,Paused,6.87,Daily,Manual CPC,Google search,English; Arabic
ABK | Search | EN | Briller Wash Care Chemicals,Search,Paused,8.24,Daily,Manual CPC,Google search,English; Arabic
ABK | Search | AR | Briller Wash Care Chemicals,Search,Paused,4.12,Daily,Manual CPC,Google search,English; Arabic
