Campaign,Ad Group,Status,Max CPC,Ad Group Type
ABK | Search | EN | B2B Wholesale & Dealers,EN Wholesale Car Care Supply,Enabled,1.24,Standard
ABK | Search | EN | B2B Wholesale & Dealers,EN Become a Dealer - Distributor,Enabled,1.37,Standard
ABK | Search | EN | B2B Wholesale & Dealers,EN Bulk Car Shampoo - Wash Chemicals,Enabled,0.96,Standard
ABK | Search | EN | B2B Wholesale & Dealers,EN PPF Film Rolls - Trade,Enabled,1.51,Standard
ABK | Search | EN | B2B Wholesale & Dealers,EN Window Film Rolls - Trade,Enabled,1.37,Standard
ABK | Search | AR | B2B Wholesale & Dealers,AR Wholesale Car Care Supply,Enabled,0.82,Standard
ABK | Search | AR | B2B Wholesale & Dealers,AR Become a Dealer - Distributor,Enabled,0.96,Standard
ABK | Search | AR | B2B Wholesale & Dealers,AR Bulk Car Shampoo - Wash Chemicals,Enabled,0.69,Standard
ABK | Search | AR | B2B Wholesale & Dealers,AR PPF Film Rolls - Trade,Enabled,1.1,Standard
ABK | Search | AR | B2B Wholesale & Dealers,AR Window Film Rolls - Trade,Enabled,0.96,Standard
ABK | Search | EN | Autotriz Ceramic Coatings,Ceramic Coating - Buy Product,Enabled,1.1,Standard
ABK | Search | EN | Autotriz Ceramic Coatings,Autotriz Brand and SKU,Enabled,0.82,Standard
ABK | Search | EN | Autotriz Ceramic Coatings,Trade and Detailer Supply,Enabled,1.37,Standard
ABK | Search | EN | Autotriz Ceramic Coatings,Fabric and Textile Coating,Enabled,0.96,Standard
ABK | Search | EN | Autotriz Ceramic Coatings,One Step Finish Polish,Enabled,0.96,Standard
ABK | Search | EN | Autotriz Ceramic Coatings,PPF Refresh - Top Coat Polish,Enabled,0.96,Standard
ABK | Search | AR | Autotriz Ceramic Coatings,AR - Ceramic Coating Purchase,Enabled,0.82,Standard
ABK | Search | AR | Autotriz Ceramic Coatings,AR - Autotriz Brand,Enabled,0.69,Standard
ABK | Search | AR | Autotriz Ceramic Coatings,AR - Wholesale and Distributors,Enabled,1.1,Standard
ABK | Search | AR | Autotriz Ceramic Coatings,AR - Fabric and Textile Coating,Enabled,0.69,Standard
ABK | Search | AR | Autotriz Ceramic Coatings,AR - One Step Polish,Enabled,0.69,Standard
ABK | Search | AR | Autotriz Ceramic Coatings,AR - PPF Refresh,Enabled,0.69,Standard
ABK | Search | EN | Interior & Fragrance,EN - Interior Cleaner (Briller MPC),Enabled,0.69,Standard
ABK | Search | EN | Interior & Fragrance,EN - Leather & Vinyl Coating (Autotriz),Enabled,0.82,Standard
ABK | Search | EN | Interior & Fragrance,EN - Fabric & Upholstery Coating (Autotriz),Enabled,0.76,Standard
ABK | Search | EN | Interior & Fragrance,EN - ABK Home Fragrance,Enabled,0.55,Standard
ABK | Search | EN | Interior & Fragrance,EN - Sticker & Adhesive Remover,Enabled,0.62,Standard
ABK | Search | AR | Interior & Fragrance,AR - منظف الداخلية,Enabled,0.55,Standard
ABK | Search | AR | Interior & Fragrance,AR - سيراميك الجلد والفينيل,Enabled,0.69,Standard
ABK | Search | AR | Interior & Fragrance,AR - حماية الأقمشة,Enabled,0.62,Standard
ABK | Search | AR | Interior & Fragrance,AR - معطرات المنزل ABK,Enabled,0.48,Standard
ABK | Search | AR | Interior & Fragrance,AR - مزيل الملصقات,Enabled,0.48,Standard
ABK | Search | EN | Autotriz Compounds & Shampoo,Cutting Compound - Heavy Cut 901,Enabled,0.96,Standard
ABK | Search | EN | Autotriz Compounds & Shampoo,Polishing Compound - Power Cut 701,Enabled,0.96,Standard
ABK | Search | EN | Autotriz Compounds & Shampoo,Finishing Polish - Ultimate Polish 302,Enabled,0.88,Standard
ABK | Search | EN | Autotriz Compounds & Shampoo,One Step Polish - One Step Finish,Enabled,0.88,Standard
ABK | Search | EN | Autotriz Compounds & Shampoo,Rich Foam Shampoo - 20L Trade Pack,Enabled,0.82,Standard
ABK | Search | EN | Autotriz Compounds & Shampoo,Polishing Pads - GrunesAuto 6 Inch,Enabled,0.77,Standard
ABK | Search | AR | Autotriz Compounds & Shampoo,AR - Heavy Cut 901,Enabled,0.69,Standard
ABK | Search | AR | Autotriz Compounds & Shampoo,AR - Power Cut 701,Enabled,0.69,Standard
ABK | Search | AR | Autotriz Compounds & Shampoo,AR - Ultimate Polish 302,Enabled,0.63,Standard
ABK | Search | AR | Autotriz Compounds & Shampoo,AR - One Step Finish,Enabled,0.63,Standard
ABK | Search | AR | Autotriz Compounds & Shampoo,AR - Rich Foam Shampoo,Enabled,0.6,Standard
ABK | Search | AR | Autotriz Compounds & Shampoo,AR - Polishing Pads,Enabled,0.55,Standard
ABK | Search | EN | VTEK PPF & Window Film,VTEK Weather Armor ULTIMATE,Enabled,1.37,Standard
ABK | Search | EN | VTEK PPF & Window Film,VTEK Weather Armor PRO,Enabled,1.24,Standard
ABK | Search | EN | VTEK PPF & Window Film,VTEK Weather Armor MATTE,Enabled,1.24,Standard
ABK | Search | EN | VTEK PPF & Window Film,VTEK Weather Armor PRISM - Colour PPF,Enabled,1.51,Standard
ABK | Search | EN | VTEK PPF & Window Film,VTEK Solar Armor Window Film,Enabled,1.1,Standard
ABK | Search | EN | VTEK PPF & Window Film,PPF & Tint Film Wholesale - Trade,Enabled,1.51,Standard
ABK | Search | AR | VTEK PPF & Window Film,VTEK Weather Armor ULTIMATE - AR,Enabled,0.96,Standard
ABK | Search | AR | VTEK PPF & Window Film,VTEK Weather Armor PRO - AR,Enabled,0.82,Standard
ABK | Search | AR | VTEK PPF & Window Film,VTEK Weather Armor MATTE - AR,Enabled,0.82,Standard
ABK | Search | AR | VTEK PPF & Window Film,VTEK Weather Armor PRISM - AR,Enabled,1.1,Standard
ABK | Search | AR | VTEK PPF & Window Film,VTEK Solar Armor - أفلام التظليل,Enabled,0.82,Standard
ABK | Search | AR | VTEK PPF & Window Film,الجملة والتوزيع - أفلام,Enabled,0.96,Standard
ABK | Search | EN | Briller Wash Care Chemicals,EN Car Shampoo - Wash & Wax,Enabled,0.69,Standard
ABK | Search | EN | Briller Wash Care Chemicals,EN Tyre Shine & Tyre Foam,Enabled,0.6,Standard
ABK | Search | EN | Briller Wash Care Chemicals,EN Car Glass Cleaner,Enabled,0.55,Standard
ABK | Search | EN | Briller Wash Care Chemicals,EN Interior & Multipurpose Cleaner,Enabled,0.69,Standard
ABK | Search | EN | Briller Wash Care Chemicals,EN Trim & Interior Dressing,Enabled,0.55,Standard
ABK | Search | EN | Briller Wash Care Chemicals,EN Heavy Duty Degreaser,Enabled,0.69,Standard
ABK | Search | EN | Briller Wash Care Chemicals,EN Alloy Wheel & Rim Cleaner,Enabled,0.6,Standard
ABK | Search | AR | Briller Wash Care Chemicals,AR Car Shampoo - Wash & Wax,Enabled,0.55,Standard
ABK | Search | AR | Briller Wash Care Chemicals,AR Tyre Shine & Tyre Foam,Enabled,0.49,Standard
ABK | Search | AR | Briller Wash Care Chemicals,AR Car Glass Cleaner,Enabled,0.49,Standard
ABK | Search | AR | Briller Wash Care Chemicals,AR Interior & Multipurpose Cleaner,Enabled,0.55,Standard
ABK | Search | AR | Briller Wash Care Chemicals,AR Trim & Interior Dressing,Enabled,0.49,Standard
ABK | Search | AR | Briller Wash Care Chemicals,AR Heavy Duty Degreaser,Enabled,0.55,Standard
ABK | Search | AR | Briller Wash Care Chemicals,AR Alloy Wheel & Rim Cleaner,Enabled,0.49,Standard
