Language,Sitelink Text,Sitelink Description 1,Sitelink Description 2,Sitelink Final URL
English,Shop All Products,28 car care products in stock,"Vertek, Autotriz, Briller",https://abktradingservice.com/en/b2c/products
English,Wholesale Pricing,Trade rates for workshops,Ask for the price list,https://abktradingservice.com/en/b2b
English,Become a Dealer,Distribute across the GCC,Apply in one message,https://abktradingservice.com/en/b2b/become-a-dealer
English,Paint Protection Film,Vertek PPF for the Qatar sun,"Gloss, matte and prism",https://abktradingservice.com/en/b2c/products?category=ppf
English,Ceramic Coatings,Autotriz 3D Matrix and Ion,For detailers and owners,https://abktradingservice.com/en/b2c/products?category=ceramic
English,Visit the Doha Store,"Mesaimeer, Zone 56","Sat-Thu, closed Friday",https://abktradingservice.com/en/contact
English,Car Care Guides,Written for Qatar's climate,"Dust, sun and sand advice",https://abktradingservice.com/en/b2c/blog
Arabic,جميع المنتجات,منتجات العناية بالسيارات,فيرتك وأوتوتريز وبريلر,https://abktradingservice.com/ar/b2c/products
Arabic,أسعار الجملة,أسعار خاصة للورش والمحلات,اطلب قائمة الأسعار,https://abktradingservice.com/ar/b2b
Arabic,كن موزعاً معنا,التوزيع في قطر والخليج,قدّم طلبك برسالة واحدة,https://abktradingservice.com/ar/b2b/become-a-dealer
Arabic,أفلام حماية الطلاء,فيرتك لحماية طلاء سيارتك,لامع ومطفي وبريزم,https://abktradingservice.com/ar/b2c/products?category=ppf
Arabic,طلاء السيراميك,أوتوتريز ثري دي ماتريكس,للمحترفين وهواة العناية,https://abktradingservice.com/ar/b2c/products?category=ceramic
Arabic,زوروا معرضنا في الدوحة,مسيمير، منطقة ٥٦، الدوحة,السبت-الخميس، الجمعة مغلق,https://abktradingservice.com/ar/contact
Arabic,دليل العناية بالسيارة,نصائح تناسب مناخ قطر,الغبار والشمس والرمال,https://abktradingservice.com/ar/b2c/blog
